Alpha,Beta,Loss
0.001,0.001,1.2826636514907405e-09
0.001,0.01,5.988648263653628e-10
0.001,0.1,2.725265357417658e-10
0.001,1.0,5.4507694235876866e-11
0.01,0.001,1.5776186242559686e-09
0.01,0.01,1.4422663303891027e-09
0.01,0.1,1.6308895918107377e-10
0.01,1.0,5.668771180309167e-11
0.1,0.001,5.446111060375397e-11
0.1,0.01,4.712182299387975e-10
0.1,0.1,9.162875479554957e-10
0.1,1.0,1.3084418990286723e-11
1.0,0.001,2.98320761745539e-11
1.0,0.01,1.580238867253652e-10
1.0,0.1,1.8912359140618162e-11
1.0,1.0,6.171921628100499e-10
